,USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,Year,Month,Day
2993,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,25.2,17.1,39.9,24.4,0.22,4.3,11.1,,1,,1,2018,2,11
2994,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,26.4,18.0,42.1,20.4,0.08,8.9,14.0,24.1,1,,1,2018,2,12
2995,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,8.7,-14.1,32.0,-0.8,0.0,3.0,7.0,,0,,0,2018,2,13
2996,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,26.4,12.0,36.0,19.0,0.0,8.4,15.0,25.1,0,,0,2018,2,14
2997,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,36.2,19.9,46.9,32.9,0.0,7.3,15.0,26.0,1,,0,2018,2,15
2998,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,34.5,19.9,46.9,32.5,0.0,4.9,12.0,19.0,1,,1,2018,2,16
2999,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,13.7,-6.0,39.9,4.1,0.04,4.9,13.0,,0,,0,2018,2,17
3000,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,25.8,23.0,30.9,20.0,0.04,6.8,15.9,20.0,0,,1,2018,2,18
3001,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,27.1,7.0,42.1,21.7,0.02,4.6,8.0,,1,,1,2018,2,19
3002,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,11.6,-2.9,35.1,6.4,0.05,6.8,9.9,19.0,0,,1,2018,2,2
3003,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,43.0,35.6,51.8,42.9,0.24,4.9,9.9,,1,,0,2018,2,20
3004,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,51.6,33.1,63.0,49.4,0.36,7.6,14.0,20.0,1,,0,2018,2,21
3005,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,26.2,23.0,30.9,19.5,0.04,1.5,4.1,,0,,1,2018,2,22
3006,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,23.7,12.0,37.9,19.1,0.0,4.4,13.0,19.0,1,,0,2018,2,23
3007,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,34.4,28.9,39.9,32.2,0.12,5.7,15.0,21.0,1,,1,2018,2,24
3008,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,31.2,21.9,42.1,28.1,0.03,8.1,20.0,32.1,1,,1,2018,2,25
3009,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,34.0,25.0,42.1,26.4,0.18,7.6,14.0,22.0,0,,0,2018,2,26
3010,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,32.5,17.1,46.9,22.0,0.0,7.4,15.9,20.0,0,,0,2018,2,27
3011,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,43.3,35.1,54.0,24.7,0.0,8.1,17.1,26.0,1,,0,2018,2,28
3012,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,-0.1,-14.1,23.0,-4.4,0.01,5.2,12.0,19.0,0,,1,2018,2,3
3013,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,23.3,10.0,28.9,19.1,0.0,9.2,15.9,22.0,0,,1,2018,2,4
3014,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,17.5,6.8,28.4,13.0,0.08,5.5,12.0,20.0,0,,1,2018,2,5
3015,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,14.0,7.0,28.0,9.5,0.04,7.3,14.0,19.0,0,,1,2018,2,6
3016,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,6.9,-9.0,19.9,4.3,0.0,2.9,7.0,,0,,1,2018,2,7
3017,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,11.6,3.0,19.4,7.0,0.35,5.5,8.9,15.9,0,,1,2018,2,8
3018,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,10.6,-5.1,18.0,6.8,0.01,5.9,12.0,19.0,0,,1,2018,2,9
3019,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,36.5,28.9,54.0,30.6,0.0,5.5,14.0,25.1,1,,1,2018,3,1
3020,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,25.1,19.0,30.0,21.1,0.01,5.2,9.9,20.0,0,,1,2018,3,10
3021,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,24.2,21.9,28.0,20.8,0.01,5.3,9.9,15.9,0,,1,2018,3,11
3022,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,24.3,15.1,30.2,19.5,0.0,2.4,7.0,,0,,0,2018,3,12
3023,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,26.6,18.0,30.0,24.6,0.0,6.0,9.9,,0,,1,2018,3,13
3024,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,26.3,24.1,30.9,24.4,0.02,4.3,9.9,,0,,1,2018,3,14
3025,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,25.4,23.0,30.9,22.2,0.01,6.8,11.1,20.0,0,,1,2018,3,15
3026,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,17.8,12.2,24.1,12.1,0.0,6.8,12.0,21.0,0,,1,2018,3,16
3027,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,15.8,5.0,21.9,2.5,0.0,7.8,14.0,27.0,0,,1,2018,3,17
3028,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,-0.3,-22.0,21.9,-15.2,0.0,3.3,9.9,18.1,0,,0,2018,3,18
3029,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,3.6,-22.0,25.0,-8.4,0.0,2.9,8.0,,0,,0,2018,3,19
3030,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,26.2,24.1,43.0,24.1,0.0,9.3,14.0,21.0,0,,1,2018,3,2
3031,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,9.7,-18.9,35.1,-2.7,0.0,3.0,9.9,,0,,0,2018,3,20
3032,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,17.3,-2.9,35.1,7.7,0.0,5.3,9.9,,0,,0,2018,3,21
3033,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,24.2,-4.0,39.9,14.5,0.0,3.7,12.0,17.1,0,,0,2018,3,22
3034,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,27.4,5.0,39.9,16.5,0.0,3.1,8.9,14.0,0,,0,2018,3,23
3035,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,26.1,12.9,37.0,13.1,0.0,4.9,8.0,,0,,0,2018,3,24
3036,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,23.4,6.1,37.0,13.9,0.0,5.4,13.0,20.0,0,,0,2018,3,25
3037,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,24.3,3.0,43.0,10.6,0.0,2.3,8.0,,0,,0,2018,3,26
3038,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,29.4,3.0,43.0,9.7,0.0,5.1,15.0,22.9,0,,0,2018,3,27
3039,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,36.2,32.0,44.1,33.1,0.0,4.2,11.1,,1,,0,2018,3,28
3040,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,39.1,32.0,48.0,36.1,0.0,1.6,5.1,,1,,0,2018,3,29
3041,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,29.1,24.1,33.1,26.9,0.01,5.4,8.9,17.1,0,,0,2018,3,3
3042,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,37.4,33.1,48.0,36.1,0.0,4.0,7.0,15.0,1,,0,2018,3,30
3043,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,31.5,16.0,44.1,17.4,0.01,5.8,15.0,25.1,0,,0,2018,3,31
3044,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,27.0,23.0,33.1,25.1,0.0,4.1,7.0,,0,,1,2018,3,4
3045,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,23.5,19.9,28.9,21.2,0.0,5.0,8.0,,0,,1,2018,3,5
3046,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,24.7,23.0,26.1,21.6,0.0,1.2,6.0,,0,,0,2018,3,6
3047,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,25.3,23.0,30.9,23.7,0.08,3.6,8.0,,0,,1,2018,3,8
3048,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,23.5,19.0,30.0,21.2,0.24,4.4,8.0,,0,,1,2018,3,9
3049,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,32.7,16.0,43.0,23.3,0.0,11.4,20.0,31.1,1,,1,2018,4,1
3050,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,24.7,8.1,35.1,18.0,0.0,2.3,9.9,19.0,0,,1,2018,4,10
3051,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,25.8,10.0,39.0,17.7,0.03,5.1,14.0,22.9,0,,1,2018,4,11
3052,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,35.2,30.0,46.9,31.8,0.04,5.4,14.0,20.0,1,,1,2018,4,12
3053,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,40.4,30.0,46.9,38.9,0.36,3.8,8.0,,1,,0,2018,4,13
3054,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,30.2,17.6,37.9,28.2,0.77,7.0,17.1,25.1,1,,1,2018,4,14
3055,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,20.7,17.6,27.0,18.3,0.34,13.3,18.1,27.0,1,,1,2018,4,15
3056,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,35.9,18.0,45.0,32.7,0.31,9.9,17.1,26.0,1,,1,2018,4,16
3057,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,31.9,27.0,45.0,29.6,0.08,7.6,12.0,21.0,1,,1,2018,4,17
3058,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,30.5,26.1,37.0,27.9,0.05,8.3,12.0,19.0,0,,1,2018,4,18
3059,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,30.5,26.1,37.0,27.6,0.05,5.6,9.9,18.1,0,,1,2018,4,19
3060,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,27.0,17.1,37.9,14.6,0.0,5.5,12.0,18.1,0,,0,2018,4,2
3061,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,28.0,25.0,37.0,24.1,0.07,5.4,8.0,15.0,0,,1,2018,4,20
3062,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,34.8,18.0,48.0,20.2,0.01,4.9,9.9,19.0,0,,0,2018,4,21
